"date","meeting","file","attendance"
"2020-08-05","2020년 제1회 보호위원회","2020-08-05_2020년_제1회_보호위원회_0_제1회_보호위_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2020-08-26","2020년 제2회 보호위원회","2020-08-26_2020년_제2회_보호위원회_0_제2회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2020-09-09","2020년 제3회 보호위원회","2020-09-09_2020년_제3회_보호위원회_0_제3회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2020-09-23","2020년 제4회 보호위원회","2020-09-23_2020년_제4회_보호위원회_0_제4회_보호위원회_회의록.md",""
"2020-10-28","2020년 제5회 보호위원회","2020-10-28_2020년_제5회_보호위원회_0_제5회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2020-11-18","2020년 제6회 보호위원회","2020-11-18_2020년_제6회_보호위원회_0_제6회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 고성학․이희정․지성우․백대용"
"2020-11-25","2020년 제7회 보호위원회","2020-11-25_2020년_제7회_보호위원회_0_제7회_개인정보위_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2020-12-09","2020년 제8회 보호위원회","2020-12-09_2020년_제8회_보호위원회_0_제8회_개인정보위_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․지성우․백대용"
"2020-12-23","2020년 제9회 보호위원회","2020-12-23_2020년_제9회_보호위원회_0_제9회_개인정보위_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2021-01-13","2021년 제1회 보호위원회","2021-01-13_2021년_제1회_보호위원회_0_제1회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2021-01-27","2021년 제2회 보호위원회","2021-01-27_2021년_제2회_보호위원회_0_제2회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 염흥열․서종식․ 고성학․이희정․백대용"
"2021-02-24","2021년 제3회 보호위원회","2021-02-24_2021년_제3회_보호위원회_0_제3회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2021-03-10","2021년 제4회 보호위원회","2021-03-10_2021년_제4회_보호위원회_0_제4회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2021-03-24","2021년 제5회 보호위원회","2021-03-24_2021년_제5회_보호위원회_0_제5회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
"2021-04-14","2021년 제6회 보호위원회","2021-04-14_2021년_제6회_보호위원회_0_제6회_보호위원회_회의록.md","위원장 윤종인, 부위원장 최영진, 위원 강정화․염흥열․ 서종식․고성학․이희정․지성우․백대용"
