"name","first_seen","last_seen","appearances","roles"
"강정화","2020-08-05","2023-07-26","50","위원"
"고성학","2020-08-05","2023-07-26","62","위원"
"백대용","2020-08-05","2023-07-26","59","위원"
"서종식","2020-08-05","2023-07-26","59","위원"
"염흥열","2020-08-05","2023-07-26","58","위원"
"윤종인","2020-08-05","2022-09-28","44","위원장"
"이희정","2020-08-05","2023-07-26","52","위원"
"지성우","2020-08-05","2023-07-26","61","위원"
"최영진","2020-08-05","2022-07-13","40","부위원장"
"최장혁","2022-09-28","2025-09-24","62","부위원장"
"고학수","2022-10-19","2025-09-24","54","위원장"
"김일환","2023-10-11","2026-03-25","51","위원"
"김진욱","2023-10-11","2026-03-25","51","위원"
"김진환","2023-10-11","2026-03-25","52","위원"
"박상희","2023-10-11","2026-03-25","52","위원"
"윤영미","2023-10-11","2026-03-25","52","위원"
"조소영","2023-10-11","2024-11-27","25","위원"
"이문한","2024-03-13","2026-03-25","41","위원"
"김휘강","2025-03-26","2026-03-25","19","위원"
"송경희","2025-10-22","2026-03-25","6","위원장"
"이정렬","2025-11-20","2026-03-25","7","부위원장"
