meeting_idx_id,agenda_key,decision_idx_id,link_method,confidence,notes
7071,deliberation_decision:01:1,2026-0204,same_decision_date+case_number_overlap,0.98,"case overlap: 2023조총0042, 2024조총0025"
7065,deliberation_decision:01:1,2026-0070,same_decision_date+case_number_overlap,0.98,case overlap: 2025조총0045
7065,deliberation_decision:02:2,2026-0071,same_decision_date+case_number_overlap,0.98,"case overlap: 2024조삼0008, 2024조삼0009, 2024조삼0010, 2024조삼0011, 2024조삼0012, 2024조삼0013, 2024조삼0014, 2024조삼0015, 2024조삼0016, 2024조삼0017, 2024조삼0018, 2024조삼0019, 2024조삼0020, 2024조삼0021, 2024조삼0022, 2024조삼0023, 2024조삼0024, 2024조삼0025"
7051,deliberation_decision:01:1,2025-0864,same_decision_date+case_number_overlap,0.98,case overlap: 2023조일0035
7051,deliberation_decision:02:2,2025-0865,same_decision_date+case_number_overlap,0.98,case overlap: 2024조이0080
7044,deliberation_decision:01:1,2025-0843,same_decision_date+title_similarity,0.82,title/date candidate
7044,deliberation_decision:02:2,2025-0850,same_decision_date+case_number_overlap,0.98,case overlap: 2024조이0109
7044,deliberation_decision:03:3,2025-0851,same_decision_date+case_number_overlap,0.98,case overlap: 2024조이0092
7043,deliberation_decision:03:4,2025-0786,same_decision_date+case_number_overlap,0.98,case overlap: 2025조이0034
7041,deliberation_decision:01:1,2025-0714,same_decision_date+case_number_overlap,0.98,case overlap: 2025조삼0001
7041,deliberation_decision:03:3,2025-0715,same_decision_date+case_number_overlap,0.98,case overlap: 2023조일0007
7039,deliberation_decision:01:1,2025-0687,same_decision_date+case_number_overlap,0.98,case overlap: 2025조이0056
7033,deliberation_decision:01:1,2025-0614,same_decision_date+case_number_overlap,0.98,case overlap: 2024조일0043
7033,deliberation_decision:02:2,2025-0614,same_decision_date+case_number_overlap,0.98,case overlap: 2023조총0051
7033,deliberation_decision:03:3,2025-0612,same_decision_date+case_number_overlap,0.98,case overlap: 2024조삼0001
7030,deliberation_decision:01:1,2025-0578,same_decision_date+case_number_overlap,0.98,"case overlap: 2025조이0032, 2024조이0090"
7026,deliberation_decision:01:1,2025-0542,same_decision_date+case_number_overlap,0.98,"case overlap: 2023조일0021, 2024조일0027"
7024,deliberation_decision:01:1,2025-0492,same_decision_date+case_number_overlap,0.98,case overlap: 2024조삼0004
7024,deliberation_decision:02:2,2025-0493,same_decision_date+case_number_overlap,0.98,"case overlap: 2024조이0010, 2023조이0055"
7024,deliberation_decision:04:4,2025-0495,same_decision_date+case_number_overlap,0.98,"case overlap: 2024조총0059, 2024조총0067"
7018,deliberation_decision:01:1,2025-0419,same_decision_date+title_similarity,0.82,title/date candidate
7018,deliberation_decision:04:4,2025-0422,same_decision_date+case_number_overlap,0.98,"case overlap: 2025조총0020, 2025조총0021, 2025조총0025"
