meeting_idx_id,meeting_date,agenda_key,agenda_no,original_agenda_no,agenda_kind,visibility,title,case_numbers,source_status,source_confidence
7077,2026-04-22,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2025조이0057),2025조이0057,parsed_from_schedule,0.88
7077,2026-04-22,deliberation_decision:02:2,2,②,deliberation_decision,public,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2025조이0019, 0096)","2025조이0019,2025조이0096",parsed_from_schedule,0.88
7077,2026-04-22,deliberation_decision:03:3,3,③,deliberation_decision,private,「사전적정성 검토」 결과에 관한 건,,parsed_from_schedule,0.88
7077,2026-04-22,report:01:4,4,①,report,private,개인정보 처리방침 평가 추진 방향 및 평가대상 선정(안) 보고,,parsed_from_schedule,0.88
7077,2026-04-22,report:02:5,5,②,report,private,2025년 공공기관 개인정보 보호수준 평가 결과 보고,,parsed_from_schedule,0.88
7077,2026-04-22,report:03:6,6,③,report,private,「개인정보 보호법 시행령」 일부개정안에 관한 건,,parsed_from_schedule,0.88
7075,2026-04-08,deliberation_decision:01:1,1,①,deliberation_decision,private,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2025조이0057, 2024조일0071)","2025조이0057,2024조일0071",parsed_from_schedule,0.88
7075,2026-04-08,report:01:2,2,①,report,private,사전 예방 중심 개인정보 보호 실천 전략(안),,parsed_from_schedule,0.88
7075,2026-04-08,report:02:3,3,②,report,private,2026년 공공기관 개인정보 보호수준 평가 추진계획,,parsed_from_schedule,0.88
7075,2026-04-08,report:03:4,4,③,report,private,정보보호 및 개인정보보호 관리체계 인증제 실효성 강화방안 수립에 관한 건,,parsed_from_schedule,0.88
7075,2026-04-08,report:04:5,5,④,report,private,「개인정보 보호법 위반에 대한 과징금 부과기준」 일부개정안에 관한 사항,,parsed_from_schedule,0.88
7071,2026-03-25,deliberation_decision:01:1,1,①,deliberation_decision,public,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2023조총0042, 2024조총0025)","2023조총0042,2024조총0025",parsed_from_schedule,0.88
7071,2026-03-25,deliberation_decision:02:2,2,②,deliberation_decision,private,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2026조일0003, 2025조총0014, 2024조총0088)","2026조일0003,2025조총0014,2024조총0088",parsed_from_schedule,0.88
7071,2026-03-25,report:01:3,3,①,report,private,공공부문 개인정보보호 강화를 위한 제도개선 추진,,parsed_from_schedule,0.88
7071,2026-03-25,report:02:4,4,②,report,private,온라인플랫폼 4개 분야 자율규약 이행점검 결과에 관한 건,,parsed_from_schedule,0.88
7069,2026-03-11,deliberation_decision:01:1,1,①,deliberation_decision,public,공공 AX 혁신지원 위한 사전적정성 검토 결과에 관한 건,,parsed_from_schedule,0.88
7069,2026-03-11,deliberation_decision:02:2,2,②,deliberation_decision,public,디지털 포렌식 지원 및 증거 보관·관리 규정 제정안에 관한 건,,parsed_from_schedule,0.88
7069,2026-03-11,deliberation_decision:03:3,3,③,deliberation_decision,private,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2025조일0053-01),2025조일0053,parsed_from_schedule,0.88
7069,2026-03-11,deliberation_decision:04:4,4,④,deliberation_decision,public,보건의료 분야 개인정보 전송에 관한 고시 일부개정안에 관한 건,,parsed_from_schedule,0.88
7069,2026-03-11,report:01:5,5,①,report,private,"""사전예방적 개인정보 보호"" 전환을 지원하는 과징금체계 개편방안",,parsed_from_schedule,0.88
7067,2026-02-11,deliberation_decision:01:1,1,①,deliberation_decision,public,공공 AX 혁신지원 위한 사전적정성 검토 결과에 관한 건,,parsed_from_schedule,0.88
7067,2026-02-11,deliberation_decision:02:2,2,②,deliberation_decision,private,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2025조일0026, 0028, 0035)","2025조일0026,2025조일0028,2025조일0035",parsed_from_schedule,0.88
7067,2026-02-11,deliberation_decision:03:3,3,③,deliberation_decision,private,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2024조이0068~0078),"2024조이0068,2024조이0069,2024조이0070,2024조이0071,2024조이0072,2024조이0073,2024조이0074,2024조이0075,2024조이0076,2024조이0077,2024조이0078",parsed_from_schedule,0.88
7067,2026-02-11,deliberation_decision:04:4,4,④,deliberation_decision,public,개인정보 보호수준 평가에 관한 고시 개정에 관한 건,,parsed_from_schedule,0.88
7067,2026-02-11,report:01:5,5,①,report,private,가스 분야 개인정보 전송에 관한 고시 제정안에 관한 건,,parsed_from_schedule,0.88
7065,2026-01-28,deliberation_decision:01:1,1,①,deliberation_decision,public,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2025조총0045),2025조총0045,parsed_from_schedule,0.88
7065,2026-01-28,deliberation_decision:02:2,2,②,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2024조삼0008~2024조삼0025),"2024조삼0008,2024조삼0009,2024조삼0010,2024조삼0011,2024조삼0012,2024조삼0013,2024조삼0014,2024조삼0015,2024조삼0016,2024조삼0017,2024조삼0018,2024조삼0019,2024조삼0020,2024조삼0021,2024조삼0022,2024조삼0023,2024조삼0024,2024조삼0025",parsed_from_schedule,0.88
7065,2026-01-28,deliberation_decision:03:3,3,③,deliberation_decision,private,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2025조이0052),2025조이0052,parsed_from_schedule,0.88
7065,2026-01-28,deliberation_decision:04:4,4,④,deliberation_decision,public,「국경 간 개인정보 보호 규칙 인증 제도의 운영에 관한 지침」 제정안에 관한 건,,parsed_from_schedule,0.88
7064,2026-01-14,report:01:1,1,①,report,public,2026년 개인정보 조사업무 추진 방향,,parsed_from_schedule,0.88
7064,2026-01-14,deliberation_decision:01:2,2,①,deliberation_decision,private,개인정보 보호조치에 대한 개선권고에 관한 건,,parsed_from_schedule,0.88
7064,2026-01-14,report:02:3,3,②,report,private,「디지털 포렌식 지원 및 증거 보관·관리 규정」 고시 제정안에 관한 건,,parsed_from_schedule,0.88
7064,2026-01-14,report:03:4,4,③,report,private,2025년 개인정보 처리방침 평가결과 보고,,parsed_from_schedule,0.88
7064,2026-01-14,deliberation_decision:02:5,5,②,deliberation_decision,public,「개인정보 보호법 시행령」 일부개정안에 관한 건,,parsed_from_schedule,0.88
7054,2025-12-10,deliberation_decision:01:1,1,①,deliberation_decision,private,개인정보 보호조치에 대한 개선권고에 관한 건,,parsed_from_schedule,0.88
7054,2025-12-10,deliberation_decision:02:2,2,②,deliberation_decision,private,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2023조총0042 등 4건),2023조총0042,parsed_from_schedule,0.88
7054,2025-12-10,deliberation_decision:03:3,3,③,deliberation_decision,public,2026년 개인정보 보호 시행계획 수립에 관한 건,,parsed_from_schedule,0.88
7054,2025-12-10,report:01:4,4,①,report,public,2025년 상반기 시정조치 이행점검 결과에 관한 건,,parsed_from_schedule,0.88
7054,2025-12-10,report:02:5,5,②,report,public,가명정보 처리 가이드라인 개정에 관한 건,,parsed_from_schedule,0.88
7052,2025-12-03,deliberation_decision:01:1,1,①,deliberation_decision,private,개인정보 보호조치에 대한 개선권고에 관한 건(2025-조이-149-01),,parsed_from_schedule,0.88
7051,2025-11-26,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2023조일0035 등 3건),2023조일0035,parsed_from_schedule,0.88
7051,2025-11-26,deliberation_decision:02:2,2,②,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2024조이0080 등 2건),2024조이0080,parsed_from_schedule,0.88
7051,2025-11-26,report:01:3,3,①,report,public,공공기관 가명정보 제공 및 체계에 관한 규정 제정에 관한 건,,parsed_from_schedule,0.88
7044,2025-11-20,deliberation_decision:01:1,1,①,deliberation_decision,public,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,,parsed_from_schedule,0.88
7044,2025-11-20,deliberation_decision:02:2,2,②,deliberation_decision,private,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2024조이0109 등 3건),2024조이0109,parsed_from_schedule,0.88
7044,2025-11-20,deliberation_decision:03:3,3,③,deliberation_decision,private,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2024조이0092),2024조이0092,parsed_from_schedule,0.88
7044,2025-11-20,deliberation_decision:04:4,4,④,deliberation_decision,private,사전적정성 검토 결과에 관한 건,,parsed_from_schedule,0.88
7044,2025-11-20,report:01:5,5,①,report,private,에너지(전기) 분야 개인정보 전송에 관한 고시 제정안에 관한 건,,parsed_from_schedule,0.88
7043,2025-10-22,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보의 안전성 확보조치 기준 일부개정안에 관한 건,,parsed_from_schedule,0.88
7043,2025-10-22,report:01:2,2,①,report,public,가명정보 비조치의견서 제도 도입방안에 관한 건,,parsed_from_schedule,0.88
