case_key,case_no,decision_date,pipc_idx_id,status,candidate_name,entity_kind,is_public_sector,confidence,method,source_path,evidence_text,check_point,candidate_count,case_title,decision_post_title,attachment_names,decision_raw_paths,transcript_paths
2021-0087:CYLFILE_000000017836:1,제2021-002-041호,2021-01-27,2021-0087,identified,금융위원회위원장,unknown,,0.955,decision_header_target_agency,pipc_knowledge_base/99_raw/decisions/2021/2021-01-27_2021-0087_CYLFILE_000000017836_1_1_hwp.md,대상 기관 금융위원회위원장,자동 식별 및 DB 반영 대상,2,신용정보의 이용 및 보호에 관한 법령 개선권고에 관한 건,신용정보의 이용 및 보호에 관한 법령 개선권고에 관한 건,신용정보법령_개선권고_심의의결서.hwp; 신용정보법령_개선권고_심의의결서.pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-01-27_2021-0087_CYLFILE_000000017836_1_1_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-01-27_2021-0087_CYLFILE_000000017836_1_1_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-01-27_2021년_제2회_보호위원회_1_제2회_보호위원회_속기록.md
2021-0394:CYLFILE_000000012588:1,2021조이0055,2021-07-14,2021-0394,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0055),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0055),개인정보보호위원회_제12회_전체회의_의결서(210714)_공개용.hwp; 개인정보보호위원회_제12회_전체회의_의결서(210714)_공개용.pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-07-14_2021-0394_CYLFILE_000000012588_1_1_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-07-14_2021-0394_CYLFILE_000000012588_1_1_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-07-14_2021년_제12회_보호위원회_1_제12회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:20,제2021-015-156호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),1._심의의결서_제2021-015-156호(공개용).hwp; 1._심의의결서_제2021-015-156호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_20_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_20_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:21,제2021-015-157호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2._심의의결서_제2021-015-157호(공개용).hwp; 2._심의의결서_제2021-015-157호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_21_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_21_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:22,제2021-015-158호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),3._심의의결서_제2021-015-158호(공개용).hwp; 3._심의의결서_제2021-015-158호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_22_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_22_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:23,제2021-015-159호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),4._심의의결서_제2021-015-159호(공개용).hwp; 4._심의의결서_제2021-015-159호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_23_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_23_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:24,제2021-015-160호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),5._심의의결서_제2021-015-160호(공개용).hwp; 5._심의의결서_제2021-015-160호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_24_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_24_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:25,제2021-015-161호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),6._심의의결서_제2021-015-161호(공개용).hwp; 6._심의의결서_제2021-015-161호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_25_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_25_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:26,제2021-015-162호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),7._심의의결서_제2021-015-162호(공개용).hwp; 7._심의의결서_제2021-015-162호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_26_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_26_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:27,제2021-015-163호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),8._심의의결서_제2021-015-163호(공개용).hwp; 8._심의의결서_제2021-015-163호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_27_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_27_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:28,제2021-015-164호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),9._심의의결서_제2021-015-164호(공개용).hwp; 9._심의의결서_제2021-015-164호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_28_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_28_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:29,제2021-015-165호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),10._심의의결서_제2021-015-165호(공개용).hwp; 10._심의의결서_제2021-015-165호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_29_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_29_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
2021-0493:CYLFILE_000000011289:30,제2021-015-166호,2021-09-08,2021-0493,needs_review,,,,,,,,원문 파일은 있으나 신뢰 가능한 피심인 패턴을 찾지 못함,0,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),11._심의의결서_제2021-015-166호(공개용).hwp; 11._심의의결서_제2021-015-166호(공개용).pdf,pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_30_19_hwp.md; pipc_knowledge_base\99_raw\decisions\2021\2021-09-08_2021-0493_CYLFILE_000000011289_30_19_pdf.md,pipc_knowledge_base\99_raw\transcripts\2021\2021-09-08_2021년_제15회_보호위원회_1_제15회_보호위원회_속기록.md
