commissioner_name,total_utterances,meeting_count,agenda_utterance_count,case_utterance_count,agenda_count,case_count,first_utterance_date,last_utterance_date,tendency_tag_counts,sample_md_path
윤종인,1481,45,1155,101,113,10,2020-08-05,2022-09-28,"{""procedure_legal_reasoning"":833,""evidence_fact_clarification"":494,""remedial_prevention"":295,""sanction_effectiveness"":223,""ai_data_governance"":170,""data_subject_rights"":140,""business_burden_context"":111,""public_sector_accountability"":101,""technical_security"":92,""cross_border_global"":84}",pipc_knowledge_base\04_members\speech_profiles\윤종인_speech_profile.md
최영진,158,28,143,25,37,4,2020-08-26,2022-06-22,"{""procedure_legal_reasoning"":117,""evidence_fact_clarification"":45,""remedial_prevention"":41,""sanction_effectiveness"":37,""business_burden_context"":29,""cross_border_global"":29,""ai_data_governance"":27,""data_subject_rights"":21,""technical_security"":19,""public_sector_accountability"":15}",pipc_knowledge_base\04_members\speech_profiles\최영진_speech_profile.md
강정화,282,45,267,47,68,31,2020-08-05,2023-07-26,"{""procedure_legal_reasoning"":201,""remedial_prevention"":93,""evidence_fact_clarification"":84,""data_subject_rights"":74,""business_burden_context"":64,""sanction_effectiveness"":62,""technical_security"":37,""cross_border_global"":36,""ai_data_governance"":31,""public_sector_accountability"":23}",pipc_knowledge_base\04_members\speech_profiles\강정화_speech_profile.md
염흥열,576,59,541,92,118,47,2020-08-05,2023-07-26,"{""procedure_legal_reasoning"":466,""technical_security"":197,""evidence_fact_clarification"":188,""remedial_prevention"":152,""sanction_effectiveness"":120,""business_burden_context"":111,""data_subject_rights"":102,""ai_data_governance"":88,""public_sector_accountability"":79,""cross_border_global"":75}",pipc_knowledge_base\04_members\speech_profiles\염흥열_speech_profile.md
서종식,97,26,90,26,27,9,2020-08-26,2023-07-12,"{""procedure_legal_reasoning"":74,""data_subject_rights"":32,""evidence_fact_clarification"":28,""business_burden_context"":24,""remedial_prevention"":20,""sanction_effectiveness"":20,""ai_data_governance"":14,""technical_security"":12,""cross_border_global"":8,""public_sector_accountability"":6}",pipc_knowledge_base\04_members\speech_profiles\서종식_speech_profile.md
이희정,542,53,508,101,106,37,2020-08-05,2023-07-26,"{""procedure_legal_reasoning"":463,""evidence_fact_clarification"":184,""sanction_effectiveness"":149,""remedial_prevention"":148,""technical_security"":141,""business_burden_context"":125,""data_subject_rights"":124,""public_sector_accountability"":81,""cross_border_global"":58,""ai_data_governance"":49}",pipc_knowledge_base\04_members\speech_profiles\이희정_speech_profile.md
고성학,130,32,128,24,36,21,2020-08-26,2023-07-26,"{""procedure_legal_reasoning"":115,""sanction_effectiveness"":38,""evidence_fact_clarification"":31,""remedial_prevention"":27,""data_subject_rights"":25,""public_sector_accountability"":24,""technical_security"":22,""business_burden_context"":20,""ai_data_governance"":9,""cross_border_global"":9}",pipc_knowledge_base\04_members\speech_profiles\고성학_speech_profile.md
지성우,242,50,236,53,73,39,2020-08-05,2023-07-26,"{""procedure_legal_reasoning"":198,""evidence_fact_clarification"":74,""sanction_effectiveness"":69,""business_burden_context"":68,""remedial_prevention"":53,""technical_security"":52,""public_sector_accountability"":51,""data_subject_rights"":35,""ai_data_governance"":31,""cross_border_global"":31}",pipc_knowledge_base\04_members\speech_profiles\지성우_speech_profile.md
백대용,258,45,232,31,51,25,2020-08-05,2023-07-26,"{""procedure_legal_reasoning"":207,""evidence_fact_clarification"":83,""sanction_effectiveness"":65,""remedial_prevention"":59,""business_burden_context"":47,""data_subject_rights"":39,""ai_data_governance"":37,""technical_security"":32,""cross_border_global"":29,""public_sector_accountability"":22}",pipc_knowledge_base\04_members\speech_profiles\백대용_speech_profile.md
최장혁,503,41,417,149,62,43,2022-06-22,2025-08-27,"{""procedure_legal_reasoning"":348,""remedial_prevention"":133,""evidence_fact_clarification"":124,""public_sector_accountability"":98,""business_burden_context"":81,""sanction_effectiveness"":62,""technical_security"":56,""data_subject_rights"":50,""cross_border_global"":28,""ai_data_governance"":24}",pipc_knowledge_base\04_members\speech_profiles\최장혁_speech_profile.md
고학수,2026,51,1768,481,135,85,2022-10-19,2025-09-24,"{""procedure_legal_reasoning"":1453,""evidence_fact_clarification"":565,""remedial_prevention"":395,""business_burden_context"":262,""ai_data_governance"":260,""sanction_effectiveness"":215,""public_sector_accountability"":186,""data_subject_rights"":148,""technical_security"":147,""cross_border_global"":51}",pipc_knowledge_base\04_members\speech_profiles\고학수_speech_profile.md
김일환,439,36,422,107,54,29,2023-10-11,2026-03-11,"{""procedure_legal_reasoning"":286,""ai_data_governance"":139,""remedial_prevention"":132,""business_burden_context"":111,""evidence_fact_clarification"":74,""sanction_effectiveness"":69,""public_sector_accountability"":64,""data_subject_rights"":46,""technical_security"":36,""cross_border_global"":14}",pipc_knowledge_base\04_members\speech_profiles\김일환_speech_profile.md
김진욱,553,49,494,134,82,35,2023-10-11,2026-03-25,"{""procedure_legal_reasoning"":370,""business_burden_context"":208,""remedial_prevention"":155,""evidence_fact_clarification"":133,""ai_data_governance"":131,""technical_security"":121,""sanction_effectiveness"":86,""data_subject_rights"":79,""public_sector_accountability"":72,""cross_border_global"":47}",pipc_knowledge_base\04_members\speech_profiles\김진욱_speech_profile.md
김진환,717,47,629,169,76,39,2023-10-11,2026-03-11,"{""procedure_legal_reasoning"":567,""business_burden_context"":186,""technical_security"":182,""evidence_fact_clarification"":171,""remedial_prevention"":167,""public_sector_accountability"":104,""sanction_effectiveness"":101,""ai_data_governance"":100,""data_subject_rights"":92,""cross_border_global"":40}",pipc_knowledge_base\04_members\speech_profiles\김진환_speech_profile.md
박상희,907,52,851,263,96,53,2020-08-26,2026-03-25,"{""procedure_legal_reasoning"":634,""remedial_prevention"":232,""evidence_fact_clarification"":217,""business_burden_context"":180,""ai_data_governance"":164,""public_sector_accountability"":160,""technical_security"":149,""sanction_effectiveness"":112,""data_subject_rights"":108,""cross_border_global"":42}",pipc_knowledge_base\04_members\speech_profiles\박상희_speech_profile.md
윤영미,508,50,469,150,83,49,2023-10-11,2026-03-11,"{""procedure_legal_reasoning"":379,""business_burden_context"":136,""evidence_fact_clarification"":131,""remedial_prevention"":103,""technical_security"":92,""data_subject_rights"":84,""sanction_effectiveness"":80,""ai_data_governance"":67,""public_sector_accountability"":60,""cross_border_global"":27}",pipc_knowledge_base\04_members\speech_profiles\윤영미_speech_profile.md
조소영,115,20,94,15,26,12,2023-10-11,2024-11-27,"{""procedure_legal_reasoning"":80,""remedial_prevention"":30,""business_burden_context"":27,""evidence_fact_clarification"":24,""sanction_effectiveness"":21,""ai_data_governance"":17,""public_sector_accountability"":10,""cross_border_global"":6,""data_subject_rights"":6,""technical_security"":6}",pipc_knowledge_base\04_members\speech_profiles\조소영_speech_profile.md
이문한,112,29,95,28,37,17,2024-03-27,2026-03-11,"{""procedure_legal_reasoning"":80,""remedial_prevention"":33,""technical_security"":32,""sanction_effectiveness"":30,""business_burden_context"":23,""public_sector_accountability"":23,""ai_data_governance"":20,""evidence_fact_clarification"":16,""data_subject_rights"":14,""cross_border_global"":5}",pipc_knowledge_base\04_members\speech_profiles\이문한_speech_profile.md
김휘강,82,15,79,46,24,16,2025-03-26,2026-03-25,"{""procedure_legal_reasoning"":67,""technical_security"":47,""business_burden_context"":32,""evidence_fact_clarification"":28,""remedial_prevention"":28,""data_subject_rights"":20,""ai_data_governance"":16,""public_sector_accountability"":14,""sanction_effectiveness"":9,""cross_border_global"":5}",pipc_knowledge_base\04_members\speech_profiles\김휘강_speech_profile.md
송경희,219,6,193,59,18,6,2025-10-22,2026-03-25,"{""procedure_legal_reasoning"":157,""evidence_fact_clarification"":63,""public_sector_accountability"":36,""technical_security"":31,""sanction_effectiveness"":30,""remedial_prevention"":25,""ai_data_governance"":16,""data_subject_rights"":11,""business_burden_context"":7,""cross_border_global"":5}",pipc_knowledge_base\04_members\speech_profiles\송경희_speech_profile.md
이정렬,231,33,222,28,46,11,2021-01-27,2026-03-11,"{""procedure_legal_reasoning"":168,""remedial_prevention"":79,""business_burden_context"":70,""evidence_fact_clarification"":70,""public_sector_accountability"":58,""ai_data_governance"":55,""sanction_effectiveness"":44,""data_subject_rights"":39,""technical_security"":36,""cross_border_global"":19}",pipc_knowledge_base\04_members\speech_profiles\이정렬_speech_profile.md
