commissioner_name,tag_key,tag_label,tag_category,utterance_count,evidence_count,average_confidence
윤종인,procedure_legal_reasoning,절차·법리·근거 검토,legal_reasoning,833,833,0.545318127250891
윤종인,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,494,494,0.5451619433198386
윤종인,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,295,295,0.5629830508474583
윤종인,sanction_effectiveness,처분 실효성·제재수준 점검,sanction_orientation,223,223,0.575291479820628
윤종인,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,170,170,0.5445882352941183
윤종인,data_subject_rights,정보주체 권리·피해 관점,rights_focus,140,140,0.5486428571428578
윤종인,business_burden_context,사업자 부담·산업 맥락 고려,market_context,111,111,0.5477477477477485
윤종인,public_sector_accountability,공공부문 책임성 강조,sector_focus,101,101,0.572772277227723
윤종인,technical_security,기술·보안 통제 점검,issue_focus,92,92,0.5496739130434787
윤종인,cross_border_global,국외이전·글로벌 규범,international,84,84,0.53952380952381
최영진,procedure_legal_reasoning,절차·법리·근거 검토,legal_reasoning,117,117,0.5529914529914535
최영진,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,45,45,0.547777777777778
최영진,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,41,41,0.5651219512195123
최영진,sanction_effectiveness,처분 실효성·제재수준 점검,sanction_orientation,37,37,0.578918918918919
최영진,business_burden_context,사업자 부담·산업 맥락 고려,market_context,29,29,0.5631034482758618
최영진,cross_border_global,국외이전·글로벌 규범,international,29,29,0.5520689655172412
최영진,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,27,27,0.5537037037037036
최영진,data_subject_rights,정보주체 권리·피해 관점,rights_focus,21,21,0.5376190476190474
최영진,technical_security,기술·보안 통제 점검,issue_focus,19,19,0.5342105263157895
최영진,public_sector_accountability,공공부문 책임성 강조,sector_focus,15,15,0.5833333333333335
강정화,procedure_legal_reasoning,절차·법리·근거 검토,legal_reasoning,201,201,0.5522885572139309
강정화,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,93,93,0.5601075268817209
강정화,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,84,84,0.5433333333333339
강정화,data_subject_rights,정보주체 권리·피해 관점,rights_focus,74,74,0.5559459459459465
강정화,business_burden_context,사업자 부담·산업 맥락 고려,market_context,64,64,0.5425000000000004
강정화,sanction_effectiveness,처분 실효성·제재수준 점검,sanction_orientation,62,62,0.5687096774193552
강정화,technical_security,기술·보안 통제 점검,issue_focus,37,37,0.5602702702702703
강정화,cross_border_global,국외이전·글로벌 규범,international,36,36,0.5322222222222223
강정화,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,31,31,0.5351612903225805
강정화,public_sector_accountability,공공부문 책임성 강조,sector_focus,23,23,0.5891304347826085
염흥열,procedure_legal_reasoning,절차·법리·근거 검토,legal_reasoning,466,466,0.558605150214594
염흥열,technical_security,기술·보안 통제 점검,issue_focus,197,197,0.5820304568527921
염흥열,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,188,188,0.5512765957446815
염흥열,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,152,152,0.568947368421053
염흥열,sanction_effectiveness,처분 실효성·제재수준 점검,sanction_orientation,120,120,0.5784166666666669
염흥열,business_burden_context,사업자 부담·산업 맥락 고려,market_context,111,111,0.5530630630630635
염흥열,data_subject_rights,정보주체 권리·피해 관점,rights_focus,102,102,0.5574509803921572
염흥열,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,88,88,0.5518181818181822
염흥열,public_sector_accountability,공공부문 책임성 강조,sector_focus,79,79,0.5745569620253167
염흥열,cross_border_global,국외이전·글로벌 규범,international,75,75,0.5460000000000005
서종식,procedure_legal_reasoning,절차·법리·근거 검토,legal_reasoning,74,74,0.5548648648648653
서종식,data_subject_rights,정보주체 권리·피해 관점,rights_focus,32,32,0.5424999999999999
서종식,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,28,28,0.544285714285714
서종식,business_burden_context,사업자 부담·산업 맥락 고려,market_context,24,24,0.5566666666666665
서종식,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,20,20,0.6179999999999999
서종식,sanction_effectiveness,처분 실효성·제재수준 점검,sanction_orientation,20,20,0.6124999999999999
서종식,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,14,14,0.5414285714285716
서종식,technical_security,기술·보안 통제 점검,issue_focus,12,12,0.5433333333333334
서종식,cross_border_global,국외이전·글로벌 규범,international,8,8,0.5300000000000001
서종식,public_sector_accountability,공공부문 책임성 강조,sector_focus,6,6,0.5700000000000001
