decision_idx_id,case_key,case_no,bill_number,decision_date,title,investigation_case_no,main_entity_name,source_external_id,extraction_status,source_confidence
2021-0087,2021-0087:CYLFILE_000000017836:1,제2021-002-041호,제2021-002-041호,2021-01-27,신용정보의 이용 및 보호에 관한 법령 개선권고에 관한 건,,,decision_file:CYLFILE_000000017836:1:hwp:1,candidate,0.62
2021-0394,2021-0394:CYLFILE_000000012588:1,2021조이0055,제2021-011-097호,2021-07-14,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0055),2021조이0055,,decision_file:CYLFILE_000000012588:1:hwp:1,candidate,0.62
2021-0482,2021-0482:CYLFILE_000000011981:1,2021조일0034,제2021-013-102호; 제2021-013-101호,2021-08-25,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건 (2021조일0033 등 3건),2021조일0034; 2021조일0033,구글,decision_file:CYLFILE_000000011981:1:hwp:3,candidate,0.62
2021-0482,2021-0482:CYLFILE_000000011981:2,2021조일0035,제2021-013-103호; 제2021-013-101호,2021-08-25,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건 (2021조일0033 등 3건),2021조일0035; 2021조일0033,넷플릭스,decision_file:CYLFILE_000000011981:2:hwp:3,candidate,0.62
2021-0482,2021-0482:CYLFILE_000000011981:3,2021조일0033,제2021-013-101호,2021-08-25,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건 (2021조일0033 등 3건),2021조일0033,페이스북,decision_file:CYLFILE_000000011981:3:hwp:3,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:20,제2021-015-156호,제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:20:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:21,제2021-015-157호,제2021-015-157호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:21:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:22,제2021-015-158호,제2021-015-158호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:22:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:23,제2021-015-159호,제2021-015-159호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:23:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:24,제2021-015-160호,제2021-015-160호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:24:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:25,제2021-015-161호,제2021-015-161호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:25:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:26,제2021-015-162호,제2021-015-162호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:26:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:27,제2021-015-163호,제2021-015-163호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:27:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:28,제2021-015-164호,제2021-015-164호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:28:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:29,제2021-015-165호,제2021-015-165호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:29:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:30,제2021-015-166호,제2021-015-166호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:30:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:31,제2021-015-167호,제2021-015-167호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:31:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:32,제2021-015-168호,제2021-015-168호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:32:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:33,제2021-015-169호,제2021-015-169호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:33:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:34,제2021-015-170호,제2021-015-170호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:34:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:35,제2021-015-171호,제2021-015-171호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:35:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:36,제2021-015-172호,제2021-015-172호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:36:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:37,제2021-015-173호,제2021-015-173호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:37:hwp:19,candidate,0.62
2021-0493,2021-0493:CYLFILE_000000011289:38,제2021-015-174호,제2021-015-174호; 제2021-015-156호,2021-09-08,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),2021조총0002~0013,,decision_file:CYLFILE_000000011289:38:hwp:19,candidate,0.62
2021-0532,2021-0532:CYLFILE_000000009979:1,2021조이0038#1,,2021-09-29,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0038 등 4건),2021조이0038,,decision_file:CYLFILE_000000009979:1:hwp:4,candidate,0.62
2021-0532,2021-0532:CYLFILE_000000009979:2,2021조이0038#2,,2021-09-29,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0038 등 4건),2021조이0038,,decision_file:CYLFILE_000000009979:2:hwp:4,candidate,0.62
2021-0532,2021-0532:CYLFILE_000000009979:3,2021조이0038#3,,2021-09-29,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0038 등 4건),2021조이0038,,decision_file:CYLFILE_000000009979:3:hwp:4,candidate,0.62
2021-0532,2021-0532:CYLFILE_000000009979:4,2021조이0038#4,,2021-09-29,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0038 등 4건),2021조이0038,,decision_file:CYLFILE_000000009979:4:hwp:4,candidate,0.62
2022-0078,2022-0078:CYLFILE_000000010903:1,2021조일0040,제2022-004-012호,2022-02-23,개인정보 처리실태 개선 권고에 관한 건(2021조일0040),2021조일0040,,decision_file:CYLFILE_000000010903:1:hwp:1,candidate,0.62
2022-0079,2022-0079:CYLFILE_000000010725:1,2021조이0152,제2022-004-013호,2022-02-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0152),2021조이0152,트리플콤마(주),decision_file:CYLFILE_000000010725:1:pdf:1,candidate,0.62
2022-0122,2022-0122:CYLFILE_000000010721:1,제2022-005-014호,제2022-005-014호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2019조일0006 등 4건),2019조일0006,,decision_file:CYLFILE_000000010721:1:hwp:4,candidate,0.62
2022-0122,2022-0122:CYLFILE_000000010721:2,제2022-005-015호,제2022-005-015호; 제2022-005-014호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2019조일0006 등 4건),2019조일0006,,decision_file:CYLFILE_000000010721:2:hwp:4,candidate,0.62
2022-0122,2022-0122:CYLFILE_000000010721:3,제2022-005-016호,제2022-005-016호; 제2022-005-014호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2019조일0006 등 4건),2019조일0006,,decision_file:CYLFILE_000000010721:3:hwp:4,candidate,0.62
2022-0122,2022-0122:CYLFILE_000000010721:4,제2022-005-017호,제2022-005-017호; 제2022-005-014호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2019조일0006 등 4건),2019조일0006,,decision_file:CYLFILE_000000010721:4:hwp:4,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:1,제2022-005-018호,제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:1:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:10,제2022-005-027호,제2022-005-027호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:10:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:11,제2022-005-028호,제2022-005-028호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:11:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:12,제2022-005-029호,제2022-005-029호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:12:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:2,제2022-005-019호,제2022-005-019호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:2:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:3,제2022-005-020호,제2022-005-020호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:3:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:4,제2022-005-021호,제2022-005-021호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:4:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:5,제2022-005-022호,제2022-005-022호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:5:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:6,제2022-005-023호,제2022-005-023호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:6:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:7,제2022-005-024호,제2022-005-024호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:7:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:8,제2022-005-025호,제2022-005-025호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:8:hwp:12,candidate,0.62
2022-0123,2022-0123:CYLFILE_000000010722:9,제2022-005-026호,제2022-005-026호; 제2022-005-018호,2022-03-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0063 등 12건),2021조일0063,,decision_file:CYLFILE_000000010722:9:hwp:12,candidate,0.62
2022-0134,2022-0134:CYLFILE_000000010905:1,2021조일0101,제2022-006-030호,2022-04-13,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0101 등 2건),2021조일0101,,decision_file:CYLFILE_000000010905:1:hwp:2,source_failed,0.2
2022-0135,2022-0135:CYLFILE_000000010904:1,2021조일0144,제2022-006-033호,2022-04-13,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0144 등 2건),2021조일0144,,decision_file:CYLFILE_000000010904:1:hwp:2,source_failed,0.2
2022-0161,2022-0161:CYLFILE_000000011076:2,2021조총0080,제2022-007-046호,2022-04-27,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0080),2021조총0080,,decision_file:CYLFILE_000000011076:2:hwp:1,candidate,0.62
