normalized_law_name,article_raw,law_name_resolution_method,normalization_status,citation_count,decision_case_count,basis_date_count,selected_date_count,raw_law_names
개인정보 보호법,제30조제1항제2호,normalized_alias,candidate,3,3,1,1,개인정보 보호법
개인정보 보호법,제30조제1항제4호,normalized_alias,candidate,3,3,1,1,개인정보 보호법
개인정보 보호법,제31조의2,inferred_default_pipa,candidate,3,3,3,3,
표준 개인정보 보호지침,제34조제1항,source_text,needs_admin_rule_pass,3,3,3,3,표준 개인정보 보호지침
중소기업기본법,제35조제3항,source_text,candidate,3,3,1,1,중소기업기본법
개인정보 보호법,제37조,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제39조의12제2항,inferred_default_pipa,candidate,3,3,1,1,
개인정보 보호법,제39조의15제1항제6호,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제3조제3항,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제3조제4항,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제3조제6항,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제48조의11제4항,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제48조의4,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법 위반에 대한 공표 및 공표명령 지침,제5조,source_text,needs_admin_rule_pass,3,3,1,1,개인정보 보호법 위반에 대한 공표 및 공표명령 지침
개인정보 보호법 위반에 대한 공표 및 공표명령 지침(2023.10.11. 시행),제5조,source_text,needs_admin_rule_pass,3,3,1,1,개인정보 보호법 위반에 대한 공표 및 공표명령 지침(2023.10.11. 시행)
舊 개인정보 보호법 위반에 대한 과태료 부과기준,제63조,source_text,needs_admin_rule_pass,3,3,2,2,舊 개인정보 보호법 위반에 대한 과태료 부과기준
개인정보 보호법,제63조의2제1항,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제63조의2제3항,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제64조의3제1항제1호,inferred_default_pipa,candidate,3,3,2,2,
개인정보 보호법,제6조제1항제1호,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제6조제1항제2호,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제75조제1항제1호,inferred_default_pipa,candidate,3,3,2,2,
개인정보 보호법,제75조제2항제10호,inferred_default_pipa,candidate,3,3,1,1,
개인정보 보호법,제75조제2항제17호,inferred_default_pipa,candidate,3,3,3,3,
개인정보 보호법,제75조제2항제2호,inferred_default_pipa,candidate,3,3,3,3,
