normalized_law_name,resolved_law_name,article_raw,base_article,time_basis_date,citation_count,verification_status,note,mst,effective_date,article_title
개인정보 보호법,개인정보 보호법,제30조제1항제2호,제30조,2023-03-08,3,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보 처리방침의 수립 및 공개
개인정보 보호법,개인정보 보호법,제30조제1항제4호,제30조,2023-03-08,3,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보 처리방침의 수립 및 공개
개인정보 보호법,개인정보 보호법,제31조의2,제31조의2,2023-10-11,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,국내대리인의 지정
개인정보 보호법,개인정보 보호법,제31조의2,제31조의2,2024-07-24,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,국내대리인의 지정
개인정보 보호법,개인정보 보호법,제31조의2,제31조의2,2025-05-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,국내대리인의 지정
표준 개인정보 보호지침,,제34조제1항,제34조,2022-03-23,1,needs_review,needs_admin_rule_pass,,,
표준 개인정보 보호지침,,제34조제1항,제34조,2023-02-08,1,needs_review,needs_admin_rule_pass,,,
표준 개인정보 보호지침,,제34조제1항,제34조,2023-06-14,1,needs_review,needs_admin_rule_pass,,,
중소기업기본법,중소기업기본법,제35조제3항,제35조,2023-03-08,3,not_found,article_not_found,,,
개인정보 보호법,개인정보 보호법,제37조,제37조,2023-06-14,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 처리정지 등
개인정보 보호법,개인정보 보호법,제37조,제37조,2024-07-24,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보의 처리정지 등
개인정보 보호법,개인정보 보호법,제37조,제37조,2025-05-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보의 처리정지 등
개인정보 보호법,개인정보 보호법,제39조의12제2항,제39조의12,2021-08-25,3,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,국외 이전 개인정보의 보호
개인정보 보호법,개인정보 보호법,제39조의15제1항제6호,제39조의15,2021-08-25,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과징금의 부과 등에 대한 특례
개인정보 보호법,개인정보 보호법,제39조의15제1항제6호,제39조의15,2022-09-14,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과징금의 부과 등에 대한 특례
개인정보 보호법,개인정보 보호법,제39조의15제1항제6호,제39조의15,2023-03-22,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과징금의 부과 등에 대한 특례
개인정보 보호법,개인정보 보호법,제3조제3항,제3조,2023-06-14,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제3항,제3조,2024-03-27,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제3항,제3조,2025-05-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제4항,제3조,2023-07-26,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제4항,제3조,2024-06-12,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제4항,제3조,2025-04-23,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제6항,제3조,2022-02-23,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제6항,제3조,2023-04-12,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제3조제6항,제3조,2024-06-12,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보 보호 원칙
개인정보 보호법,개인정보 보호법,제48조의11제4항,제48조의11,2021-08-25,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제48조의11제4항,제48조의11,2022-09-14,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제48조의11제4항,제48조의11,2023-10-25,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제48조의4,제48조의4,2023-03-08,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제48조의4,제48조의4,2023-03-22,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제48조의4,제48조의4,2024-06-26,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법 위반에 대한 공표 및 공표명령 지침,,제5조,제5조,2023-10-11,3,needs_review,needs_admin_rule_pass,,,
개인정보 보호법 위반에 대한 공표 및 공표명령 지침(2023.10.11. 시행),,제5조,제5조,2023-11-08,3,needs_review,needs_admin_rule_pass,,,
舊 개인정보 보호법 위반에 대한 과태료 부과기준,,제63조,제63조,2023-10-25,1,needs_review,needs_admin_rule_pass,,,
舊 개인정보 보호법 위반에 대한 과태료 부과기준,,제63조,제63조,2024-01-24,2,needs_review,needs_admin_rule_pass,,,
개인정보 보호법,개인정보 보호법,제63조의2제1항,제63조의2,2024-06-12,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,사전 실태점검
개인정보 보호법,개인정보 보호법,제63조의2제1항,제63조의2,2025-04-23,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,사전 실태점검
개인정보 보호법,개인정보 보호법,제63조의2제1항,제63조의2,2025-05-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,사전 실태점검
개인정보 보호법,개인정보 보호법,제63조의2제3항,제63조의2,2024-06-12,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,사전 실태점검
개인정보 보호법,개인정보 보호법,제63조의2제3항,제63조의2,2025-04-23,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,사전 실태점검
개인정보 보호법,개인정보 보호법,제63조의2제3항,제63조의2,2025-05-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,사전 실태점검
개인정보 보호법,개인정보 보호법,제64조의3제1항제1호,제64조의3,2021-08-25,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제64조의3제1항제1호,제64조의3,2023-07-26,2,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제6조제1항제1호,제6조,2024-05-08,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,다른 법률과의 관계
개인정보 보호법,개인정보 보호법,제6조제1항제1호,제6조,2025-08-27,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,다른 법률과의 관계
개인정보 보호법,개인정보 보호법,제6조제1항제1호,제6조,2025-12-10,1,verified,article_verified_by_korean_law_mcp,270351,2025-10-02,다른 법률과의 관계
개인정보 보호법,개인정보 보호법,제6조제1항제2호,제6조,2024-05-08,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,다른 법률과의 관계
개인정보 보호법,개인정보 보호법,제6조제1항제2호,제6조,2025-01-08,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,다른 법률과의 관계
개인정보 보호법,개인정보 보호법,제6조제1항제2호,제6조,2025-08-27,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,다른 법률과의 관계
개인정보 보호법,개인정보 보호법,제75조제1항제1호,제75조,2022-06-22,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과태료
개인정보 보호법,개인정보 보호법,제75조제1항제1호,제75조,2023-05-10,2,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과태료
개인정보 보호법,개인정보 보호법,제75조제2항제10호,제75조,2023-03-08,3,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과태료
개인정보 보호법,개인정보 보호법,제75조제2항제17호,제75조,2025-07-23,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,과태료
개인정보 보호법,개인정보 보호법,제75조제2항제17호,제75조,2026-01-28,1,verified,article_verified_by_korean_law_mcp,270351,2025-10-02,과태료
개인정보 보호법,개인정보 보호법,제75조제2항제17호,제75조,2026-03-25,1,verified,article_verified_by_korean_law_mcp,270351,2025-10-02,과태료
개인정보 보호법,개인정보 보호법,제75조제2항제2호,제75조,2023-04-26,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과태료
개인정보 보호법,개인정보 보호법,제75조제2항제2호,제75조,2023-11-22,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,과태료
개인정보 보호법,개인정보 보호법,제75조제2항제2호,제75조,2024-08-28,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,과태료
개인정보 보호법,개인정보 보호법,제75조제4항제5호,제75조,2023-04-12,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과태료
개인정보 보호법,개인정보 보호법,제75조제4항제5호,제75조,2023-05-10,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과태료
개인정보 보호법,개인정보 보호법,제75조제4항제5호,제75조,2023-06-14,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,과태료
개인정보 보호법,개인정보 보호법,제75조제5항,제75조,2024-02-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,과태료
개인정보 보호법,개인정보 보호법,제75조제5항,제75조,2025-05-14,2,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,과태료
중소기업기본법,중소기업기본법,제7조,제7조,2022-08-10,1,verified,article_verified_by_korean_law_mcp,238877,2022-07-05,판로 확보
중소기업기본법,중소기업기본법,제7조,제7조,2025-11-20,1,verified,article_verified_by_korean_law_mcp,260843,2024-08-28,판로 확보
중소기업기본법,중소기업기본법,제7조,제7조,2025-11-26,1,verified,article_verified_by_korean_law_mcp,260843,2024-08-28,판로 확보
개인정보 보호법,개인정보 보호법,제8조제2항제2호,제8조,2023-04-12,1,partially_verified,base_article_verified_but_paragraph_not_found,213857,2020-08-05,
개인정보 보호법,개인정보 보호법,제8조제2항제2호,제8조,2023-07-26,1,partially_verified,base_article_verified_but_paragraph_not_found,213857,2020-08-05,
개인정보 보호법,개인정보 보호법,제8조제2항제2호,제8조,2023-11-08,1,partially_verified,base_article_verified_but_paragraph_not_found,248613,2023-09-15,
개인정보 보호법,개인정보 보호법,제11조제2항,제11조,2022-09-28,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,자료제출 요구 등
개인정보 보호법,개인정보 보호법,제11조제2항,제11조,2023-07-26,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,자료제출 요구 등
개인정보 보호법,개인정보 보호법,제11조제6항,제11조,2024-09-25,1,partially_verified,base_article_verified_but_paragraph_not_found,248613,2023-09-15,자료제출 요구 등
개인정보 보호법,개인정보 보호법,제11조제6항,제11조,2025-06-25,1,partially_verified,base_article_verified_but_paragraph_not_found,248613,2023-09-15,자료제출 요구 등
개인정보 보호법,개인정보 보호법,제13조,제13조,2022-06-22,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,자율규제의 촉진 및 지원
개인정보 보호법,개인정보 보호법,제13조,제13조,2025-01-22,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,자율규제의 촉진 및 지원
개인정보 보호법,개인정보 보호법,제14조,제14조,2021-08-25,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,국제협력
개인정보 보호법,개인정보 보호법,제14조,제14조,2025-05-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,국제협력
개인정보 보호법,개인정보 보호법,제15조제1항제7호,제15조,2024-02-14,2,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보의 수집ㆍ이용
개인정보 보호법,개인정보 보호법,제15조제2항제5호,제15조,2023-01-11,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 수집ㆍ이용
개인정보 보호법,개인정보 보호법,제15조제2항제5호,제15조,2023-06-28,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 수집ㆍ이용
개인정보 보호법,개인정보 보호법,제16조제1항,제16조,2023-02-08,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 수집 제한
개인정보 보호법,개인정보 보호법,제16조제1항,제16조,2023-11-22,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보의 수집 제한
개인정보 보호법 및 시행령 개정사항 안내서(2023. 12. 29.),,제17조,제17조,2025-01-22,2,needs_review,skip_non_law_reference,,,
개인정보 보호법,개인정보 보호법,제17조제3항,제17조,2021-08-25,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 제공
개인정보 보호법,개인정보 보호법,제17조제3항,제17조,2024-08-28,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보의 제공
개인정보 보호법 및 시행령 개정사항 안내서(2023. 12. 29.),,제18조,제18조,2025-01-22,2,needs_review,skip_non_law_reference,,,
질서위반행위규제법,질서위반행위규제법,제19조제1항,제19조,2023-07-26,2,verified,article_verified_by_korean_law_mcp,224847,2021-01-01,과태료 부과의 제척기간
개인정보 보호법,개인정보 보호법,제21조,제21조,2022-05-25,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 파기
개인정보 보호법,개인정보 보호법,제21조,제21조,2023-07-12,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 파기
개인정보 보호법,개인정보 보호법,제21조제1항,제21조,2022-05-25,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 파기
개인정보 보호법,개인정보 보호법,제21조제1항,제21조,2023-04-12,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,개인정보의 파기
개인정보 보호법,개인정보 보호법,제22조의2,제22조의2,2024-09-25,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,아동의 개인정보 보호
개인정보 보호법,개인정보 보호법,제22조의2,제22조의2,2025-04-23,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,아동의 개인정보 보호
개인정보 보호법,개인정보 보호법,제22조의2제1항,제22조의2,2024-09-25,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,아동의 개인정보 보호
개인정보 보호법,개인정보 보호법,제22조의2제1항,제22조의2,2025-04-23,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,아동의 개인정보 보호
정보통신망 이용촉진 및 정보보호 등에 관한 법률,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제22조제1항,제22조,2023-07-26,2,partially_verified,base_article_verified_but_paragraph_not_found,247261,2023-07-04,
개인정보 보호법,개인정보 보호법,제22조제1항제7호,제22조,2024-06-26,2,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,동의를 받는 방법
개인정보 보호법,개인정보 보호법,제22조제3항,제22조,2024-08-28,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,동의를 받는 방법
개인정보 보호법,개인정보 보호법,제22조제3항,제22조,2025-05-14,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,동의를 받는 방법
개인정보 보호법,개인정보 보호법,제23조의2제1항,제23조의2,2022-04-27,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제23조의2제1항,제23조의2,2025-11-26,1,needs_review,article_not_found_in_inferred_default_pipa,,,
개인정보 보호법,개인정보 보호법,제23조제1항,제23조,2022-04-27,2,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,민감정보의 처리 제한
개인정보 보호법,개인정보 보호법,제26조제1항제3호,제26조,2025-07-23,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,업무위탁에 따른 개인정보의 처리 제한
개인정보 보호법,개인정보 보호법,제26조제1항제3호,제26조,2025-11-26,1,verified,article_verified_by_korean_law_mcp,270351,2025-10-02,업무위탁에 따른 개인정보의 처리 제한
개인정보 보호법,개인정보 보호법,제27조제1항,제27조,2022-08-10,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,영업양도 등에 따른 개인정보의 이전 제한
개인정보 보호법,개인정보 보호법,제27조제1항,제27조,2024-04-24,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,영업양도 등에 따른 개인정보의 이전 제한
개인정보 보호법,개인정보 보호법,제27조제2항,제27조,2021-08-25,1,verified,article_verified_by_korean_law_mcp,213857,2020-08-05,영업양도 등에 따른 개인정보의 이전 제한
개인정보 보호법,개인정보 보호법,제27조제2항,제27조,2024-04-24,1,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,영업양도 등에 따른 개인정보의 이전 제한
개인정보 보호법,개인정보 보호법,제28조의4제2항,제28조의4,2024-04-24,2,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,가명정보에 대한 안전조치의무 등
개인정보보호 법규 위반에 대한 과징금 부과기준,,제28조의8제1항,제28조의8,2024-07-24,1,needs_review,needs_admin_rule_pass,,,
개인정보보호 법규 위반에 대한 과징금 부과기준,,제28조의8제1항,제28조의8,2024-09-25,1,needs_review,needs_admin_rule_pass,,,
개인정보 보호법,개인정보 보호법,제28조의8제1항,제28조의8,2025-01-22,2,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보의 국외 이전
개인정보 보호법 및 시행령 개정사항 안내서(2023. 12. 29.),,제28조의8제1항제1호,제28조의8,2025-01-22,2,needs_review,skip_non_law_reference,,,
개인정보 보호법,개인정보 보호법,제28조의8제1항제1호,제28조의8,2025-01-22,2,verified,article_verified_by_korean_law_mcp,248613,2023-09-15,개인정보의 국외 이전
개인정보보호 법규 위반에 대한 과징금 부과기준4),,제29조,제29조,2025-04-09,1,needs_review,needs_admin_rule_pass,,,
개인정보보호 법규 위반에 대한 과징금 부과기준4),,제29조,제29조,2025-11-20,1,needs_review,needs_admin_rule_pass,,,
