"meeting_date","meeting_number","pipc_idx_id","title","attachment_count","minutes_status","transcript_status","utterance_analysis_status","analysis_policy"
"2026-04-22","126","7077","2026년 제7회 보호위원회","0","missing","missing","unavailable_no_transcript","metadata_only_no_file_analysis"
"2026-04-08","125","7075","2026년 제6회 보호위원회","0","missing","missing","unavailable_no_transcript","metadata_only_no_file_analysis"
"2026-03-25","124","7071","2026년 제5회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2026-03-11","123","7069","2026년 제4회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2026-02-11","122","7067","2026년 제3회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2026-01-28","121","7065","2026년 제2회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2026-01-14","120","7064","2026년 제1회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-12-10","119","7054","2025년 제26회 보호위원회","0","missing","missing","unavailable_no_transcript","metadata_only_no_file_analysis"
"2025-12-03","118","7052","2025년 제25회 보호위원회","0","missing","missing","unavailable_no_transcript","metadata_only_no_file_analysis"
"2025-11-26","117","7051","2025년 제24회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-11-20","116","7044","2025년 제23회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-10-22","115","7043","2025년 제22회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-09-24","114","7042","2025년 제21회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-09-10","113","7041","2025년 제20회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-09-03","112","7040","2025년 제19회 보호위원회","1","available","missing","unavailable_no_transcript","minutes_only_no_utterance_analysis"
"2025-08-27","111","7039","2025년 제18회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-08-22","110","7036","2025년 제17회 보호위원회","0","missing","missing","unavailable_no_transcript","metadata_only_no_file_analysis"
"2025-07-23","109","7033","2025년 제16회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-07-09","108","7030","2025년 제15회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-06-25","107","7026","2025년 제14회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-06-11","106","7024","2025년 제13회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-05-28","105","7021","2025년 제12회 보호위원회","0","missing","missing","unavailable_no_transcript","metadata_only_no_file_analysis"
"2025-05-14","104","7018","2025년 제11회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-05-02","103","7014","2025년 제10회 보호위원회","0","missing","missing","unavailable_no_transcript","metadata_only_no_file_analysis"
"2025-04-23","102","7012","2025년 제9회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-04-09","101","7010","2025년 제8회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-03-26","100","7006","2025년 제7회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-03-12","99","7003","2025년 제6회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-03-07","98","7002","2025년 제5회 보호위원회","1","available","missing","unavailable_no_transcript","minutes_only_no_utterance_analysis"
"2025-02-26","97","6999","2025년 제4회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-02-12","96","6996","2025년 제3회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-01-22","95","6994","2025년 제2회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2025-01-08","94","6990","2025년 제1회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-12-11","93","6987","2024년 제21회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-11-27","92","6983","2024년 제20회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-11-13","91","6981","2024년 제19회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-11-04","90","6975","2024년 제18회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-10-23","89","6979","2024년 제17회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-09-25","88","6974","2024년 제16회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-09-11","87","6969","2024년 제15회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-08-28","86","6967","2024년 제14회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-07-24","85","6963","2024년 제13회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-07-10","84","6960","2024년 제12회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-06-26","83","6956","2024년 제11회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-06-12","82","6954","2024년 제10회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-05-22","81","6951","2024년 제9회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-05-08","80","6947","2024년 제8회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-04-24","79","6944","2024년 제7회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-03-27","78","6940","2024년 제6회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-03-13","77","6938","2024년 제5회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-02-28","76","6934","2024년 제4회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-02-14","75","6930","2024년 제3회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-01-24","74","6927","2024년 제2회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2024-01-10","73","6920","2024년 제1회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-12-27","72","6918","2023년 제21회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-12-13","71","6916","2023년 제20회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-11-22","70","6914","2023년 제19회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-11-08","69","6908","2023년 제18회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-10-25","68","6906","2023년 제17회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-10-11","67","6905","2023년 제16회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-09-19","66","6903","2023년 제15회 보호위원회","1","available","missing","unavailable_no_transcript","minutes_only_no_utterance_analysis"
"2023-09-11","65","6902","2023년 제14회 보호위원회","1","available","missing","unavailable_no_transcript","minutes_only_no_utterance_analysis"
"2023-07-26","64","6895","2023년 제13회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-07-12","63","6893","2023년 제12회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-06-28","62","6891","2023년 제11회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-06-14","61","6890","2023년 제10회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-05-24","60","6885","2023년 제9회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-05-10","59","6888","2023년 제8회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-04-26","58","6883","2023년 제7회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-04-12","57","6880","2023년 제6회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-03-22","56","6876","2023년 제5회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-03-08","55","6873","2023년 제4회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-02-22","54","6868","2023년 제3회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-02-08","53","6867","2023년 제2회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2023-01-11","52","6863","2023년 제1회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-12-28","51","6860","2022년 제21회 보호위원회","1","available","missing","unavailable_no_transcript","minutes_only_no_utterance_analysis"
"2022-12-14","50","6857","2022년 제20회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-11-30","49","6855","2022년 제19회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-11-16","48","6853","2022년 제18회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-10-19","47","6849","2022년 제17회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-09-28","46","6845","2022년 제16회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-09-14","45","6841","2022년 제15회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-08-31","44","6838","2022년 제14회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-08-10","43","6834","2022년 제13회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-07-13","42","6831","2022년 제12회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-06-22","41","6828","2022년 제11회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-06-08","40","6825","2022년 제10회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-05-25","39","6821","2022년 제9회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
"2022-05-11","38","6818","2022년 제8회 보호위원회","2","available","available","ready","utterance_analysis_allowed"
