commissioner_name,meeting_idx_id,utterance_order,tag_key,tag_label,tag_category,confidence,evidence_text
윤종인,6845,2,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,0.53,현황
윤종인,6845,3,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,0.61,"확인, 현황"
윤종인,6845,5,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,0.53,현황
윤종인,6845,6,data_subject_rights,정보주체 권리·피해 관점,rights_focus,0.53,동의
윤종인,6845,6,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,0.53,점검
윤종인,6845,6,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,0.53,현황
윤종인,6845,7,technical_security,기술·보안 통제 점검,issue_focus,0.53,로그
윤종인,6845,8,procedure_legal_reasoning,절차·법리·근거 검토,legal_reasoning,0.53,위반
윤종인,6845,9,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,0.53,조사
윤종인,6845,27,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,0.53,조사
윤종인,6845,31,technical_security,기술·보안 통제 점검,issue_focus,0.53,시스템
윤종인,6845,31,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,0.53,예방
윤종인,6845,31,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,0.53,AI
윤종인,6845,32,technical_security,기술·보안 통제 점검,issue_focus,0.53,시스템
윤종인,6845,32,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,0.53,예방
윤종인,6845,32,evidence_fact_clarification,사실관계·증거 확인,deliberation_style,0.53,조사
윤종인,6845,32,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,0.53,AI
윤종인,6845,35,technical_security,기술·보안 통제 점검,issue_focus,0.53,시스템
윤종인,6845,35,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,0.53,예방
윤종인,6845,35,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,0.53,AI
윤종인,6845,40,technical_security,기술·보안 통제 점검,issue_focus,0.53,시스템
윤종인,6845,40,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,0.53,예방
윤종인,6845,40,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,0.53,AI
윤종인,6845,41,technical_security,기술·보안 통제 점검,issue_focus,0.53,시스템
윤종인,6845,41,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,0.53,예방
윤종인,6845,41,ai_data_governance,AI·데이터 활용 거버넌스,technology_policy,0.53,AI
윤종인,6845,42,technical_security,기술·보안 통제 점검,issue_focus,0.53,시스템
윤종인,6845,42,sanction_effectiveness,처분 실효성·제재수준 점검,sanction_orientation,0.53,과징금
윤종인,6845,42,procedure_legal_reasoning,절차·법리·근거 검토,legal_reasoning,0.53,고시
윤종인,6845,42,remedial_prevention,재발방지·개선·예방 지향,remedy_orientation,0.53,예방
