case_id,case_no,decision_date,penalty_kind,amount_krw,amount_text,source_confidence,source_text
3d0dbb1e-3a65-4327-90f6-8f968a48eb12,2021조이0055,2021-07-14,과태료,4800000,"4,800,000원",0.92,"한다. 다. 가.부터 나.까지의 시정명령에 따른 시정조치를 이행하고, 시정조치 명령 처분통지를 받은 날로부터 30일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인 || 날로부터 30일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인에 대하여 다음과 같이 과태료를 부과한다. 가. 과 태 료 : 4,800,000원 나. 납부기한 : 고지서에 명시된 납부기한 이내 다. 납부장소 : 한국은행 국고수납 대리점 || 인정보취급자를 대상으로 정기적인 교육을 실시하고, 재발방지대책을 수립하여야 한다. 다. 가.부터 나.까지의 시정명령에 따른 시정조치를 이행하고, 시정조치 명령 처분통지를 받은 날로부터 30일 이내에 이행결과를 개인정보보호위원"
4856f086-d870-403b-b939-3df85b00ad33,2021조일0035,2021-08-25,과징금,224000000,"224,000,000원",0.92,"야 한다. 나. 위 가의 시정명령에 따른 시정조치를 이행하고, 시정조치 명령 처분통지를 받은 날로부터 90일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인 || 날로부터 90일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인에 대하여 다음과 같이 과징금과 과태료를 부과한다. 가. 과 징 금 : 224,000,000원 나. 과 태 료 : 3,200,000원 다. 납부기한 : 고지서에 명시된 납부 || 90일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인에 대하여 다음과 같이 과징금과 과태료를 부과한다. 가. 과 징 금 : 224,000,000원 나. 과 태 료 : 3,200,000원 다. 납부기한 : 고지서에 명"
4856f086-d870-403b-b939-3df85b00ad33,2021조일0035,2021-08-25,과태료,3200000,"3,200,000원",0.92,"정조치를 이행하고, 시정조치 명령 처분통지를 받은 날로부터 90일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인 || 날로부터 90일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인에 대하여 다음과 같이 과징금과 과태료를 부과한다. 가. 과 징 금 : 224,000,000원 나. 과 태 료 : 3,200,000원 다. 납부기한 : 고지서에 명시된 납부 || 90일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다. 2. 피심인에 대하여 다음과 같이 과징금과 과태료를 부과한다. 가. 과 징 금 : 224,000,000원 나. 과 태 료 : 3,200,000원 다. 납부기한 : 고지서에 명시된 납부기한 이내 || 시정조치 명령"
854bcdb1-99e7-463c-ab8e-b89d1f067472,제2021-015-156호,2021-09-08,과태료,4800000,"4,800,000원",0.92,"건 ### 피심인 ### 의결연월일 2021. 9. 8. ### 주 문 1. 피심인 에 대하여 다음과 같이 과태료를 부과한다. ### 가. 과 태 료 : 4,800,000원 ### 나. 납부기한 : 고지서에 명시된 납부기한 이내 ### 다. 납부장소 : 한 || 법 시행령 제30조제1항제4호, 고시 제8조제2항을 위반한 것이다. ### Ⅳ. 처분 및 결정 ### 1. 과태료 부과 ### 피심인의 보호법 제29조 위반행위에 대한 과태료는 같은 법 제75조제2항제6호 및 같은 법 시행령 제63"
92eda430-7348-47e4-aecc-d970e4a000e7,제2021-015-157호,2021-09-08,과태료,4800000,"4,800,000원",0.92,") ### 대표자 ### 의결연월일 2021. 9. 8. ### 주 문 1. 피심인 에 대하여 다음과 같이 과태료를 부과한다. ### 가. 과 태 료 : 4,800,000원 ### 나. 납부기한 : 고지서에 명시된 납부기한 이내 ### 다. 납부장소 : 한 || 법 시행령 제30조제1항제4호, 고시 제8조제2항을 위반한 것이다. ### Ⅳ. 처분 및 결정 ### 1. 과태료 부과 ### 피심인의 보호법 제29조 위반행위에 대한 과태료는 같은 법 제75조제 2항제6호 및 같은 법 시행령 제6"
960f5ba9-4dc5-4718-abfd-d657c986afe9,제2021-015-158호,2021-09-08,과태료,4800000,"4,800,000원",0.92,") ### 대표자 ### 의결연월일 2021. 9. 8. ### 주 문 1. 피심인 에 대하여 다음과 같이 과태료를 부과한다. ### 가. 과 태 료 : 4,800,000원 ### 나. 납부기한 : 고지서에 명시된 납부기한 이내 ### 다. 납부장소 : 한 || . ### 가. 피심인은 위반행위와 관련하여 향후 재발방지대책을 수립하여야 한다. ### 나. 가.에 대한 시정명령에 따른 시정조치를 이행하고, 처분통지를 받은 날로부터 60일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다."
ad288ae4-2bd6-463f-9586-6e669c23c398,제2021-015-161호,2021-09-08,과태료,4200000,"4,200,000원",0.92,"자등록번호 : ) ### 의결연월일 2021. 9. 8. ### 주 문 1. 피심인 에 대하여 다음과 같이 과태료를 부과한다. ### 가. 과 태 료 : 4,200,000원 ### 나. 납부기한 : 고지서에 명시된 납부기한 이내 ### 다. 납부장소 : 한 || 령한다. ### 가. 피심인은 위반행위와 관련하여 향후 재발방지대책을 수립하여야 한다. ### 나. 가.의 시정명령에 따른 시정조치를 이행하고, 처분통지를 받은 날로부터 60일 이내에 이행결과를 개인정보보호위원회에 제출하여야 한다."
f93ff0fd-f543-40d1-89d2-8da48d195250,제2021-015-162호,2021-09-08,과태료,4200000,"4,200,000원",0.92,") ### 대표자 ### 의결연월일 2021. 9. 8. ### 주 문 1. 피심인 에 대하여 다음과 같이 과태료를 부과한다. ### 가. 과 태 료 : 4,200,000원 ### 나. 납부기한 : 고지서에 명시된 납부기한 이내 ### 다. 납부장소 : 한 || 법 시행령 제30조제1항제2호, 고시 제6조제5항을 위반한 것이다 ### Ⅳ. 처분 및 결정 ### 1. 과태료 부과 ### 피심인의 보호법 제29조 위반행위에 대한 과태료는 같은 법 제75조 제2항제6호 및 같은 법 시행령 제63"
716f264e-4dbf-4180-8df4-5b8d004966e7,제2021-015-163호,2021-09-08,과태료,4800000,"4,800,000원",0.92,") ### 대표자 ### 의결연월일 2021. 9. 8. ### 주 문 1. 피심인 에 대하여 다음과 같이 과태료를 부과한다. ### 가. 과 태 료 : 4,800,000원 ### 나. 납부기한 : 고지서에 명시된 납부기한 이내 ### 다. 납부장소 : 한 || 시행령 제30조제1항제4호 및 고시 제8조제2항을 위반한 것이다. ### Ⅳ. 처분 및 결정 ### 1. 과태료 부과 ### 피심인의 보호법 제29조 위반행위에 대한 과태료는 같은 법 제75조제2항제6호 및 같은 법 시행령 제63조"
38b531ba-fb35-42be-8541-eabb0e41b40b,제2021-015-164호,2021-09-08,과태료,9600000,"9,600,000원",0.92,"# 대표자 ### 의결연월일 2021. 9. 8. ### 주 문 1. 피심인 청주시청에 대하여 다음과 같이 과태료를 부과한다. ### 가. 과 태 료 : 9,600,000원 ### 나. 납부기한 : 고지서에 명시된 납부기한 이내 ### 다. 납부장소 : 한 || 조제1항제4호, 고시 제8조제1항 및 제8조제2항을 위반한 것이다. ### Ⅳ. 처분 및 결정 ### 1. 과태료 부과 ### 피심인의 보호법 제21조제1항 및 제29조 위반행위에 대한 과태료는 같은 법 제75조제2항제4호‧제6호"
