"external_id","decision_idx_id","decision_date","bill_number","attachment_name","file_ext","input_path","raw_md_path","status","error"
"decision_file:CYLFILE_000000017836:1:hwp:1","2021-0087","2021-01-27","제2021-002-041호","신용정보법령_개선권고_심의의결서.hwp","hwp","pipc_committee_decisions_crawler\downloads\2021\2021-01-27_4_2021-0087_1_신용정보법령_개선권고_심의의결서.hwp","pipc_knowledge_base\99_raw\decisions\2021\2021-01-27_2021-0087_CYLFILE_000000017836_1_1_hwp.md","converted",""
"decision_file:CYLFILE_000000017836:1:pdf:1","2021-0087","2021-01-27","제2021-002-041호","신용정보법령_개선권고_심의의결서.pdf","pdf","pipc_committee_decisions_crawler\downloads\2021\2021-01-27_4_2021-0087_1_신용정보법령_개선권고_심의의결서.pdf","pipc_knowledge_base\99_raw\decisions\2021\2021-01-27_2021-0087_CYLFILE_000000017836_1_1_pdf.md","converted",""
"decision_file:CYLFILE_000000012588:1:hwp:1","2021-0394","2021-07-14","제2021-011-097호","개인정보보호위원회_제12회_전체회의_의결서(210714)_공개용.hwp","hwp","pipc_committee_decisions_crawler\downloads\2021\2021-07-14_9_2021-0394_1_개인정보보호위원회_제12회_전체회의_의결서(210714)_공개용.hwp","pipc_knowledge_base\99_raw\decisions\2021\2021-07-14_2021-0394_CYLFILE_000000012588_1_1_hwp.md","converted",""
"decision_file:CYLFILE_000000012588:1:pdf:1","2021-0394","2021-07-14","제2021-011-097호","개인정보보호위원회_제12회_전체회의_의결서(210714)_공개용.pdf","pdf","pipc_committee_decisions_crawler\downloads\2021\2021-07-14_9_2021-0394_1_개인정보보호위원회_제12회_전체회의_의결서(210714)_공개용.pdf","pipc_knowledge_base\99_raw\decisions\2021\2021-07-14_2021-0394_CYLFILE_000000012588_1_1_pdf.md","converted",""
"decision_file:CYLFILE_000000011981:1:hwp:3","2021-0482","2021-08-25","제2021-013-101호","구글_개선권고(2021-013-102,_2021조일034).hwp","hwp","pipc_committee_decisions_crawler\downloads\2021\2021-08-25_11_2021-0482_1_구글_개선권고(2021-013-102,_2021조일034).hwp","pipc_knowledge_base\99_raw\decisions\2021\2021-08-25_2021-0482_CYLFILE_000000011981_1_3_hwp.md","converted",""
"decision_file:CYLFILE_000000011981:1:pdf:3","2021-0482","2021-08-25","제2021-013-101호","구글_개선권고(2021-013-102,_2021조일034).pdf","pdf","pipc_committee_decisions_crawler\downloads\2021\2021-08-25_11_2021-0482_1_구글_개선권고(2021-013-102,_2021조일034).pdf","pipc_knowledge_base\99_raw\decisions\2021\2021-08-25_2021-0482_CYLFILE_000000011981_1_3_pdf.md","converted",""
"decision_file:CYLFILE_000000011981:2:hwp:3","2021-0482","2021-08-25","제2021-013-101호","넷플릭스_심의·의결서(2021-013-103,_2021조일035).hwp","hwp","pipc_committee_decisions_crawler\downloads\2021\2021-08-25_11_2021-0482_2_넷플릭스_심의·의결서(2021-013-103,_2021조일035).hwp","pipc_knowledge_base\99_raw\decisions\2021\2021-08-25_2021-0482_CYLFILE_000000011981_2_3_hwp.md","converted",""
"decision_file:CYLFILE_000000011981:2:pdf:3","2021-0482","2021-08-25","제2021-013-101호","넷플릭스_심의·의결서(2021-013-103,_2021조일035).pdf","pdf","pipc_committee_decisions_crawler\downloads\2021\2021-08-25_11_2021-0482_2_넷플릭스_심의·의결서(2021-013-103,_2021조일035).pdf","pipc_knowledge_base\99_raw\decisions\2021\2021-08-25_2021-0482_CYLFILE_000000011981_2_3_pdf.md","converted",""
"decision_file:CYLFILE_000000011981:3:hwp:3","2021-0482","2021-08-25","제2021-013-101호","페이스북_심의·의결서(2021-013-101,_2021조일033).hwp","hwp","pipc_committee_decisions_crawler\downloads\2021\2021-08-25_11_2021-0482_3_페이스북_심의·의결서(2021-013-101,_2021조일033).hwp","pipc_knowledge_base\99_raw\decisions\2021\2021-08-25_2021-0482_CYLFILE_000000011981_3_3_hwp.md","converted",""
"decision_file:CYLFILE_000000011981:3:pdf:3","2021-0482","2021-08-25","제2021-013-101호","페이스북_심의·의결서(2021-013-101,_2021조일033).pdf","pdf","pipc_committee_decisions_crawler\downloads\2021\2021-08-25_11_2021-0482_3_페이스북_심의·의결서(2021-013-101,_2021조일033).pdf","pipc_knowledge_base\99_raw\decisions\2021\2021-08-25_2021-0482_CYLFILE_000000011981_3_3_pdf.md","converted",""
