"external_id","meeting_idx_id","meeting_date","attachment_name","input_path","raw_md_path","status","error"
"meeting_file:FILE_000000000560705:1","7071","2026-03-25","제5회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2026\2026-03-25_2026년_제5회_보호위원회_1_제5회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2026\2026-03-25_2026년_제5회_보호위원회_1_제5회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560648:1","7069","2026-03-11","제4회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2026\2026-03-11_2026년_제4회_보호위원회_1_제4회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2026\2026-03-11_2026년_제4회_보호위원회_1_제4회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560602:1","7067","2026-02-11","제3회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2026\2026-02-11_2026년_제3회_보호위원회_1_제3회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2026\2026-02-11_2026년_제3회_보호위원회_1_제3회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560536:1","7065","2026-01-28","제2회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2026\2026-01-28_2026년_제2회_보호위원회_1_제2회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2026\2026-01-28_2026년_제2회_보호위원회_1_제2회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560444:1","7064","2026-01-14","제1회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2026\2026-01-14_2026년_제1회_보호위원회_1_제1회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2026\2026-01-14_2026년_제1회_보호위원회_1_제1회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560331:1","7051","2025-11-26","제24회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-11-26_2025년_제24회_보호위원회_1_제24회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-11-26_2025년_제24회_보호위원회_1_제24회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560330:1","7044","2025-11-20","제23회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-11-20_2025년_제23회_보호위원회_1_제23회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-11-20_2025년_제23회_보호위원회_1_제23회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560329:1","7043","2025-10-22","제22회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-10-22_2025년_제22회_보호위원회_1_제22회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-10-22_2025년_제22회_보호위원회_1_제22회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560328:1","7042","2025-09-24","제21회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-09-24_2025년_제21회_보호위원회_1_제21회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-09-24_2025년_제21회_보호위원회_1_제21회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560327:1","7041","2025-09-10","제20회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-09-10_2025년_제20회_보호위원회_1_제20회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-09-10_2025년_제20회_보호위원회_1_제20회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560324:1","7039","2025-08-27","제18회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-08-27_2025년_제18회_보호위원회_1_제18회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-08-27_2025년_제18회_보호위원회_1_제18회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000560053:1","7033","2025-07-23","제16회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-07-23_2025년_제16회_보호위원회_1_제16회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-07-23_2025년_제16회_보호위원회_1_제16회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000559967:1","7030","2025-07-09","제15회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-07-09_2025년_제15회_보호위원회_1_제15회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-07-09_2025년_제15회_보호위원회_1_제15회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000559861:1","7026","2025-06-25","제14회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-06-25_2025년_제14회_보호위원회_1_제14회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-06-25_2025년_제14회_보호위원회_1_제14회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000559820:1","7024","2025-06-11","제13회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-06-11_2025년_제13회_보호위원회_1_제13회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-06-11_2025년_제13회_보호위원회_1_제13회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000559716:1","7018","2025-05-14","제11회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-05-14_2025년_제11회_보호위원회_1_제11회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-05-14_2025년_제11회_보호위원회_1_제11회_전체회의_속기록.md","converted",""
"meeting_file:FILE_000000000559643:1","7012","2025-04-23","제9회 전체회의 속기록.pdf","pipc_minutes_crawler\downloads\2025\2025-04-23_2025년_제9회_보호위원회_1_제9회_전체회의_속기록.pdf","pipc_knowledge_base\99_raw\transcripts\2025\2025-04-23_2025년_제9회_보호위원회_1_제9회_전체회의_속기록.md","converted",""
